x,y,z_srtm
497815.51,9245083.21,-9.46
510555.35,9256495.13,-5.63
499063.87,9245834.10,-2.91
493924.06,9243819.62,-2.39
460525.40,9252486.12,-2.13
466831.49,9253835.65,-1.83
460760.78,9255799.46,-1.45
493750.08,9243714.41,-1.40
460876.50,9256725.87,-1.36
460206.23,9256945.63,-1.12
457884.81,9254312.86,-0.77
459951.69,9255097.27,-0.77
462258.10,9258225.05,-0.62
489216.40,9241524.41,-0.60
460848.82,9253358.23,-0.40
512451.48,9268426.13,-0.39
459529.98,9254255.00,-0.34
460720.09,9252425.06,-0.33
458171.61,9254691.87,-0.32
459645.77,9256174.02,-0.32
460418.32,9257358.44,-0.25
459386.75,9249950.85,-0.20
460602.04,9257297.80,-0.18
461935.40,9259656.19,-0.14
458002.72,9250867.61,-0.09
457285.76,9250132.45,-0.06
462837.42,9257075.35,-0.01
521271.93,9263159.32,0.00
521442.22,9263272.74,0.00
521613.24,9263385.84,0.00
521784.04,9263499.61,0.00
521953.64,9263615.54,0.00
522121.31,9263734.33,0.00
522287.20,9263855.28,0.00
522451.99,9263976.73,0.00
448633.14,9252531.81,0.00
448812.74,9252461.05,0.00
448993.93,9252393.35,0.00
449175.85,9252325.87,0.00
449358.35,9252260.37,0.00
449541.69,9252197.11,0.00
449725.04,9252135.94,0.00
449908.64,9252075.47,0.00
450091.64,9252015.70,0.00
450274.17,9251955.62,0.00
450456.50,9251892.80,0.00
450639.05,9251828.19,0.00
450823.22,9251765.91,0.00
451006.69,9251702.50,0.00
451189.07,9251639.15,0.00
451371.75,9251578.74,0.00
451555.53,9251522.59,0.00
451739.66,9251467.47,0.00
451923.55,9251410.16,0.00
452107.31,9251350.75,0.00
452291.56,9251289.18,0.00
452474.91,9251225.76,0.00
452657.64,9251161.31,0.00
454325.91,9250630.32,0.00
447562.16,9253284.70,0.00
447723.53,9253236.05,0.00
447885.70,9253185.37,0.00
448043.60,9253135.38,0.00
448201.62,9253084.01,0.00
448360.91,9253031.62,0.00
448520.92,9252978.81,0.00
448680.68,9252926.16,0.00
448839.78,9252874.89,0.00
448998.38,9252825.37,0.00
449156.98,9252777.13,0.00
449316.83,9252730.21,0.00
449476.34,9252679.20,0.00
449636.05,9252624.16,0.00
450277.69,9252401.22,0.00
450439.97,9252347.84,0.00
450602.60,9252292.61,0.00
450767.55,9252235.11,0.00
451445.52,9252027.17,0.00
451615.33,9251976.19,0.00
451785.84,9251926.58,0.00
451955.67,9251877.03,0.00
452124.14,9251826.75,0.00
452290.82,9251772.98,0.00
452457.36,9251714.94,0.00
452625.52,9251656.81,0.00
452793.44,9251598.67,0.00
452961.34,9251542.17,0.00
453129.62,9251488.02,0.00
453795.34,9251283.89,0.00
453957.52,9251231.19,0.00
454118.00,9251175.54,0.00
447355.72,9253962.21,0.00
447510.81,9253862.83,0.00
447670.67,9253773.40,0.00
447834.32,9253695.38,0.00
448001.92,9253628.14,0.00
448173.13,9253571.65,0.00
448348.19,9253522.24,0.00
448525.22,9253473.11,0.00
448704.60,9253422.04,0.00
448885.29,9253367.59,0.00
449066.12,9253310.10,0.00
449245.61,9253250.49,0.00
451485.72,9252515.68,0.00
451682.74,9252447.48,0.00
451882.28,9252377.60,0.00
452082.41,9252308.14,0.00
452284.25,9252239.18,0.00
452481.75,9252173.57,0.00
452681.95,9252110.55,0.00
452882.21,9252049.50,0.00
447737.73,9254200.94,0.00
447904.83,9254145.86,0.00
448071.30,9254090.76,0.00
448237.35,9254035.28,0.00
448404.08,9253981.17,0.00
448572.53,9253928.29,0.00
448741.98,9253874.87,0.00
447707.20,9254708.34,0.00
447896.47,9254647.92,0.00
448086.85,9254590.25,0.00
448276.75,9254530.69,0.00
448466.20,9254469.64,0.00
448654.53,9254409.56,0.00
448841.26,9254349.81,0.00
449025.97,9254289.86,0.00
449209.70,9254228.22,0.00
449578.81,9254108.20,0.00
449765.19,9254050.03,0.00
